"TOA5","CR200Series_LP_Weather","CR200X","No_SN","CR200X.Std.03","LancerParkWeatherStation.CR2","42693","Table1"
"TIMESTAMP","RECORD","BattV_Avg","BattV","BP_mmHg_Avg","BP_mmHg_Std","BP_mmHg","Rain_mm_Tot","AirTC_Avg","AirTC_Std","AirTC","RH","RH_Min","RH_TMn","RH_Max","RH_TMx"
"TS","RN","Volts","Volts","mmHg","mmHg","mmHg","mm","Deg C","Deg C","Deg C","%","%","%","%","%"
"","","Avg","Smp","Avg","Std","Smp","Tot","Avg","Std","Smp","Smp","Min","TMn","Max","TMx"
"2019-11-11 15:50:00",141990,13.55668,13.56785,644.3806,2.638476,645.3677,0,18.7,0.1129446,18.634,51.617,50.553,"2019-11-11 15:45:00",52.001,"2019-11-11 15:41:00"
"2019-11-11 16:00:00",141991,13.57612,13.58044,645.1277,0.7013267,645.2029,0,18.421,0.1273175,18.253,53.453,51.703,"2019-11-11 15:52:00",53.453,"2019-11-11 16:00:00"
"2019-11-11 16:10:00",141992,13.57771,13.58128,645.1262,0.8000025,645.7684,0,17.57165,0.4609135,16.926,62.231,53.628,"2019-11-11 16:00:30",62.231,"2019-11-11 16:10:00"
"2019-11-11 16:20:00",141993,13.58548,13.60982,642.1853,1.761345,645.1754,0,16.3851,0.2340632,16.092,65.578,62.72,"2019-11-11 16:10:30",65.65,"2019-11-11 16:17:00"
"2019-11-11 16:30:00",141994,13.60672,13.6115,644.09,1.665969,642.9225,0,16.2149,0.1443647,16.464,62.75,62.72,"2019-11-11 16:29:30",65.66,"2019-11-11 16:20:30"
"2019-11-11 16:40:00",141995,13.58288,13.52336,642.1749,1.205468,642.1257,0,16.4683,0.1054769,16.283,61.406,60.875,"2019-11-11 16:38:30",63.146,"2019-11-11 16:30:30"
"2019-11-11 16:50:00",141996,13.47106,13.44193,642.9867,1.656211,645.2807,0,15.57995,0.3918543,14.966,65.646,61.543,"2019-11-11 16:40:30",65.646,"2019-11-11 16:50:00"
"2019-11-11 17:00:00",141997,13.39791,13.36471,645.4607,1.02315,645.6562,0,14.45035,0.3509027,13.738,70.34,65.9,"2019-11-11 16:50:30",70.34,"2019-11-11 17:00:00"
"2019-11-11 17:10:00",141998,13.32953,13.30762,645.4716,1.582569,646.6957,0,13.77715,0.2364314,14.16,68.205,68.205,"2019-11-11 17:10:00",71.594,"2019-11-11 17:05:30"
"2019-11-11 17:20:00",141999,13.28517,13.26313,645.9069,0.7080687,646.2652,0,14.4146,0.210828,14.694,63.896,63.896,"2019-11-11 17:20:00",68.029,"2019-11-11 17:10:30"
"2019-11-11 17:30:00",142000,13.2497,13.23291,646.7603,0.8742933,647.0276,0,14.3483,0.1301819,14.232,66.041,64.146,"2019-11-11 17:20:30",66.523,"2019-11-11 17:28:00"
