DATE,TIMESTAMP,RECORD.x,BattV_Avg,BattV,BP_mmHg_Avg,BP_mmHg_Std,BP_mmHg,Rain_mm_Tot,AirTC_Avg,AirTC_Std,AirTC,RH,RH_Min,RH_TMn,RH_Max,RH_TMx,RECORD.y,BattV_Min,SlrkW_Avg,SlrkW_Std,SlrkW,SlrMJ_Tot,WS_ms_Avg,WS_ms_Std,WS_ms,WindDir,WS_ms_S_WVT,WindDir_D1_WVT,WindDir_SD1_WVT
2019-12-27,2019-12-27 23:30:00,148660,13.11212,13.1028,644.2227,1.239177,643.2888,0,5.37855,0.1251585,5.572,99.998,99.998,2019-12-27 23:20:30,99.998,2019-12-27 23:20:30,99104,13.08937,3.815631e-05,0.0001257809,0,3.434068e-05,0.003157778,0.01340218,0.02286667,191.0456,0.003157778,190.2957,0.1936638
2019-12-28,2019-12-28 00:00:00,148663,13.10658,13.0986,645.748,1.863549,645.5143,0,5.962951,0.06754661,5.926,99.998,99.998,2019-12-27 23:50:30,99.998,2019-12-27 23:50:30,99106,13.08098,2.543754e-05,7.715587e-05,0,2.289379e-05,0,0,0,193.6463,0,0,0
2019-12-28,2019-12-28 00:30:00,148666,13.1057,13.10868,645.9119,1.586145,646.7048,0,5.11915,0.129265,4.997,99.998,99.998,2019-12-28 00:20:30,99.998,2019-12-28 00:20:30,99108,13.08098,5.850635e-05,0.0001621032,0.0003052502,5.265572e-05,0.2252911,0.2701245,0.1927333,187.708,0.2252911,188.2331,0.5663964
2019-12-28,2019-12-28 01:00:00,148669,13.09373,13.11203,646.111,1.77635,646.7048,0,5.0565,0.06845689,4.966,99.998,99.998,2019-12-28 00:50:30,99.998,2019-12-28 00:50:30,99110,13.06922,7.885638e-05,0.0002014069,0,7.097075e-05,0.05041556,0.1126619,0,194.2792,0.05041556,194.4968,0.2358196
2019-12-28,2019-12-28 01:30:00,148672,13.08677,13.08182,644.245,1.374267,643.2911,0,5.714499,0.02397397,5.724,99.998,99.998,2019-12-28 01:20:30,99.998,2019-12-28 01:20:30,99112,13.06419,5.087508e-05,0.0001397908,0,4.578758e-05,0.02656889,0.07558521,0,191.8583,0.02656889,191.5419,0.02702783
2019-12-28,2019-12-28 02:00:00,148675,13.079,13.05243,643.6075,0.9783762,643.3231,0,5.98505,0.03900184,5.976,99.998,99.998,2019-12-28 01:50:30,99.998,2019-12-28 01:50:30,99114,13.05243,1.780627e-05,6.734943e-05,0,1.602565e-05,0.3558489,0.201632,0,188.4189,0.3558489,188.9111,2.349747
2019-12-28,2019-12-28 02:30:00,148678,13.07434,13.05747,644.7647,1.490563,645.544,0,4.78485,0.07241987,4.694,99.998,99.998,2019-12-28 02:20:30,99.998,2019-12-28 02:20:30,99116,13.04572,6.105011e-05,0.0002079665,0,5.49451e-05,0,0,0,180.7879,0,0,0
2019-12-28,2019-12-28 03:00:00,148681,13.06003,13.08098,645.2025,2.12484,644.69,0,4.078599,0.06801574,4.018,99.998,99.998,2019-12-28 02:50:30,99.998,2019-12-28 02:50:30,99118,13.03061,0,0,0,0,0.05684,0.1370742,0,188.4167,0.05684,188.8084,0.5643462
2019-12-28,2019-12-28 03:30:00,148684,13.05113,13.07426,644.6191,1.183983,644.69,0,4.3301,0.06459559,4.18,99.998,99.998,2019-12-28 03:20:30,99.998,2019-12-28 03:20:30,99120,13.03061,5.087508e-05,0.0001872729,0.0009920642,4.578758e-05,0,0,0,188.4449,0,0,0
2019-12-28,2019-12-28 04:00:00,148687,13.04505,13.03732,644.4828,0.6624095,645.2029,0,3.4692,0.04590821,3.451,99.998,99.998,2019-12-28 03:50:30,99.998,2019-12-28 03:50:30,99122,13.02054,8.903141e-05,0.0002086034,0,8.012828e-05,0.1674711,0.2137291,0.4932666,186.7956,0.1674711,189.6924,1.33075
