DATE,TIMESTAMP,RECORD.x,BattV_Avg,BattV,BP_mmHg_Avg,BP_mmHg_Std,BP_mmHg,Rain_mm_Tot,AirTC_Avg,AirTC_Std,AirTC,RH,RH_Min,RH_TMn,RH_Max,RH_TMx,RECORD.y,BattV_Min,SlrkW_Avg,SlrkW_Std,SlrkW,SlrMJ_Tot,WS_ms_Avg,WS_ms_Std,WS_ms,WindDir,WS_ms_S_WVT,WindDir_D1_WVT,WindDir_SD1_WVT
2019-11-01,2019-11-01 13:30:00,117173,13.36719,13.39241,758.9886,0.08324397,759.0925,0,12.00297,0.1672465,12.158,48.947,44.1,2019-11-01 13:27:30,51.367,2019-11-01 13:26:30,117173,13.30259,0.6803753,0.001619241,0.6809375,0.6123378,1.943123,0.6491644,1.169467,211.3487,1.943123,224.0603,24.39489
2019-11-01,2019-11-01 13:45:00,117174,13.38301,13.32609,758.9196,0.07251992,758.9232,0,12.37193,0.1604589,12.178,45.856,44.021,2019-11-01 13:39:00,50.186,2019-11-01 13:42:30,117174,13.31854,0.6777145,0.001933644,0.6767403,0.6099432,2.0384,0.4783907,2.662333,237.0006,2.0384,210.1663,23.96155
2019-11-01,2019-11-01 14:00:00,117175,13.28342,13.25138,758.9044,0.06498646,758.9117,0,12.8018,0.393265,12.71,47.691,42.58,2019-11-01 13:57:30,49.585,2019-11-01 13:46:00,117175,13.222,0.6700606,0.003923978,0.6607147,0.6030545,1.769662,0.6129557,2.247467,156.5339,1.769662,178.2091,36.66969
2019-11-01,2019-11-01 14:15:00,117176,13.23009,13.21445,758.8077,0.1090387,758.6689,0,13.00883,0.4283922,13.366,46.471,41.911,2019-11-01 14:02:00,49.315,2019-11-01 14:06:00,117176,13.19766,0.66016,0.003575958,0.6565174,0.5941441,1.656853,0.7347867,2.394466,228.9686,1.656853,200.2448,55.7844
2019-11-01,2019-11-01 14:30:00,117177,13.18042,13.17247,758.6794,0.07205354,758.7927,0,13.48167,0.3634962,12.752,43.646,41.255,2019-11-01 14:25:30,47.416,2019-11-01 14:18:00,117177,13.14142,0.6461288,0.005177301,0.6369051,0.5815159,1.142462,0.5560507,0.9898,2.954001,1.142462,215.4592,78.27274
2019-11-01,2019-11-01 14:45:00,117178,13.15434,13.14729,758.6462,0.08133572,758.6484,0,13.3086,0.2018991,13.648,41.766,41.008,2019-11-01 14:42:30,46.68,2019-11-01 14:33:00,117178,13.11203,0.6270024,0.005983208,0.6201927,0.5643021,1.59054,0.562031,1.355667,201.0042,1.59054,216.8945,52.6561
2019-11-01,2019-11-01 15:00:00,117179,13.134,13.10868,758.6678,0.08267652,758.6369,0,13.92857,0.1828125,14.191,44.039,39.054,2019-11-01 14:54:00,46.322,2019-11-01 14:47:00,117179,13.0986,0.6062886,0.006880321,0.5935596,0.5456597,1.078653,0.4638768,1.182533,275.0775,1.078653,249.3842,58.60615
2019-11-01,2019-11-01 15:15:00,117180,13.1216,13.08349,758.59,0.0734475,758.5477,0,14.12207,0.3059452,14.462,44.919,38.48,2019-11-01 15:08:30,46.542,2019-11-01 15:04:00,117180,13.08349,0.5806043,0.008503356,0.5649424,0.5225439,1.216616,0.5779063,1.015933,239.558,1.216616,205.9809,34.90924
2019-11-01,2019-11-01 15:30:00,117181,13.10414,13.05831,758.5523,0.06416596,758.5316,0,14.49583,0.2662093,14.483,41.735,38.792,2019-11-01 15:23:00,42.748,2019-11-01 15:19:30,117181,13.05831,0.5500894,0.009161311,0.5340357,0.4950806,1.1172,0.5760132,1.394867,151.3107,1.1172,173.3308,66.08081
2019-11-01,2019-11-01 15:45:00,117182,13.07653,13.08098,758.5787,0.08273901,758.6049,0,14.56687,0.2827295,14.432,37.644,37.433,2019-11-01 15:40:30,43.587,2019-11-01 15:37:00,117182,13.04908,0.5171172,0.01034652,0.5012213,0.4654055,1.043047,0.5333871,1.519,258.3374,1.043047,233.876,63.38945
