Date/Time, Depth
2017-11-11 09:11:42,46.16
2017-11-11 09:11:45,45.51
2017-11-11 09:11:53,44.94
2017-11-11 10:11:28,43.19
2017-11-11 10:11:24,42.75
2017-11-11 10:11:32,42.22
2017-11-11 10:11:24,41.24
2017-11-11 11:11:09,39.94
2017-11-11 11:11:40,38.89
2017-11-11 11:11:24,37.29
2017-11-11 11:11:30,36.88
2017-11-11 12:11:44,36.25
2017-11-11 12:11:34,35.72
2017-11-11 12:11:17,35.37
2017-11-11 12:11:33,34.75
2017-11-11 12:11:12,34
2017-11-11 12:11:50,33.78
2017-11-11 13:11:58,33.59
2017-11-11 13:11:46,32.57
2017-11-11 13:11:17,32.44
2017-11-11 13:11:11,32.11
2017-11-11 13:11:17,32.15
2017-11-11 14:11:12,32.09
2017-11-11 14:11:20,31.76
2017-11-11 14:11:31,31.82
2017-11-11 14:11:43,31.98
2017-11-11 14:11:46,32.1
2017-11-11 14:11:24,32.41
2017-11-11 15:11:34,32.56
2017-11-11 15:11:57,32.75
2017-11-11 15:11:05,33.35
2017-11-11 15:11:31,33.91
2017-11-11 15:11:17,34.28
2017-11-11 16:11:42,35.01
2017-11-11 16:11:03,35.63
2017-11-11 16:11:57,37.26
2017-11-11 16:11:58,37.96
2017-11-11 16:11:00,38.5
2017-11-11 16:11:02,39.49
2017-11-11 17:11:03,40.36
2017-11-11 17:11:07,40.97
2017-11-11 17:11:06,41.77
2017-11-11 17:11:08,42.65
2017-11-11 17:11:10,43.39
2017-11-11 17:11:12,44.03
2017-11-11 18:11:15,45.48
2017-11-11 18:11:17,46.18
2017-11-11 18:11:18,47.06
2017-11-11 18:11:20,47.48
2017-11-11 18:11:21,47.94
2017-11-11 19:11:23,48.7
2017-11-11 19:11:25,49.21
2017-11-11 19:11:26,49.41
2017-11-11 19:11:28,49.95
2017-11-11 19:11:29,50.47
2017-11-11 19:11:31,50.74
2017-11-11 20:11:34,51.06
2017-11-11 20:11:36,51.3
2017-11-11 20:11:37,51.81
2017-11-11 20:11:40,51.45
2017-11-11 21:11:43,51.35
2017-11-11 21:11:44,51.11
2017-11-11 21:11:46,51.08
2017-11-11 21:11:48,50.75
2017-11-11 21:11:49,50.09
2017-11-11 21:11:51,49.84
2017-11-11 22:11:54,48.96
2017-11-11 22:11:56,48.07
2017-11-11 22:11:57,47.62
2017-11-11 22:11:59,46.94
2017-11-11 22:11:01,46.34
2017-11-11 23:11:02,45.8
2017-11-11 23:11:04,44.95
2017-11-11 23:11:05,44.41
2017-11-11 23:11:07,43.77
2017-11-11 23:11:08,42.88
2017-11-11 23:11:10,42.27
2017-11-12 00:11:12,41.64
2017-11-12 00:11:13,40.63
2017-11-12 00:11:15,39.99
2017-11-12 00:11:16,39.49
2017-11-12 00:11:20,38.61
2017-11-12 00:11:20,38.12
2017-11-12 01:11:21,37.6
2017-11-12 01:11:23,37.02
2017-11-12 01:11:26,35.95
2017-11-12 01:11:28,35.58
2017-11-12 01:11:29,35.13
2017-11-12 02:11:31,34.7
2017-11-12 02:11:33,34.18
2017-11-12 02:11:34,34.04
2017-11-12 02:11:36,33.94
2017-11-12 02:11:39,33.43
2017-11-12 03:11:41,33.31
2017-11-12 03:11:43,33.47
2017-11-12 03:11:44,33.53
2017-11-12 03:11:45,33.54
2017-11-12 03:11:47,33.87
2017-11-12 03:11:49,34.29
2017-11-12 04:11:50,34.69
2017-11-12 04:11:53,35.45
2017-11-12 04:11:55,36.46
2017-11-12 04:11:57,37.09
2017-11-12 04:11:59,37.46
2017-11-12 05:11:02,38.95
2017-11-12 05:11:03,39.62
2017-11-12 05:11:05,40.8
2017-11-12 05:11:07,41.18
2017-11-12 05:11:09,41.73
2017-11-12 06:11:10,42.91
2017-11-12 06:11:12,43.6
2017-11-12 06:11:13,44.16
2017-11-12 06:11:15,44.91
2017-11-12 06:11:16,45.6
2017-11-12 06:11:18,46.32
2017-11-12 07:11:20,47.11
2017-11-12 07:11:23,48.25
2017-11-12 07:11:25,48.55
2017-11-12 07:11:26,49.29
2017-11-12 07:11:28,49.99
2017-11-12 08:11:31,50.44
2017-11-12 08:11:35,50.98
2017-11-12 08:11:36,51.57
2017-11-12 08:11:37,51.46
2017-11-12 09:11:41,51.95
2017-11-12 09:11:43,51.55
2017-11-12 09:11:50,51.68
2017-11-12 09:11:51,51.73
2017-11-12 09:11:56,51.23
2017-11-12 10:11:01,51.43
2017-11-12 10:11:05,50.41
2017-11-12 10:11:14,50.07
2017-11-12 10:11:19,48.9
2017-11-12 11:11:23,48.2
2017-11-12 11:11:28,47.46
2017-11-12 11:11:32,46.99
2017-11-12 11:11:41,44.9
2017-11-12 11:11:46,44.37
2017-11-12 12:11:51,43.16
2017-11-12 12:11:00,42.06
2017-11-12 12:11:05,40.52
2017-11-12 13:11:13,39.61
2017-11-12 13:11:18,38.61
2017-11-12 13:11:23,38.15
2017-11-12 13:11:27,37.3
2017-11-12 13:11:32,36.5
2017-11-12 13:11:37,35.97
2017-11-12 14:11:46,34.68
2017-11-12 14:11:54,33.91
2017-11-12 15:11:04,33.67
2017-11-12 15:11:08,32.94
2017-11-12 15:11:17,32.89
2017-11-12 15:11:22,32.86
2017-11-12 16:11:27,33.61
2017-11-12 16:11:31,33.56
2017-11-12 16:11:36,33.69
2017-11-12 16:11:41,33.92
2017-11-12 16:11:45,35.08
2017-11-12 16:11:49,35.56
2017-11-12 17:11:55,35.96
2017-11-12 17:11:59,37.35
2017-11-12 17:11:03,37.48
2017-11-12 17:11:08,38.27
2017-11-12 17:11:12,39.48
2017-11-12 18:11:22,40.37
2017-11-12 18:11:30,42.91
2017-11-12 18:11:35,43.4
2017-11-12 19:11:44,45.04
2017-11-12 19:11:48,45.59
2017-11-12 20:11:07,48.58
2017-11-12 20:11:11,49.07
2017-11-12 20:11:16,49.33
2017-11-12 20:11:21,49.49
2017-11-12 20:11:25,50.51
2017-11-12 20:11:29,50.74
2017-11-12 21:11:34,50.85
2017-11-12 21:11:39,51.34
2017-11-12 21:11:43,50.57
2017-11-12 22:11:57,50.97
2017-11-12 22:11:01,51.07
2017-11-12 22:11:06,50.27
2017-11-12 22:11:10,50.59
2017-11-12 23:11:20,49.12
2017-11-12 23:11:24,48.7
2017-11-12 23:11:28,47.94
2017-11-12 23:11:33,47.45
2017-11-12 23:11:38,46.43
2017-11-12 23:11:48,45.26
2017-11-13 00:11:47,44.67
2017-11-13 00:11:52,44.04
2017-11-13 00:11:56,43.47
2017-11-13 00:11:01,42.24
2017-11-13 00:11:05,41.64
2017-11-13 01:11:10,41.15
2017-11-13 01:11:14,39.99
2017-11-13 01:11:19,39.24
2017-11-13 01:11:23,38.23
2017-11-13 01:11:28,37.44
2017-11-13 01:11:32,37.09
2017-11-13 02:11:41,35.57
2017-11-13 02:11:46,35.07
2017-11-13 02:11:50,34.32
2017-11-13 03:11:59,33.81
2017-11-13 03:11:04,32.67
2017-11-13 03:11:08,32.56
2017-11-13 03:11:13,32.8
2017-11-13 03:11:18,31.92
2017-11-13 04:11:22,32.07
2017-11-13 04:11:27,32.05
2017-11-13 04:11:32,31.68
2017-11-13 04:11:36,32.55
2017-11-13 04:11:41,32.82
