Date/Time, Site, Station, Sensor, Value
2017-11-11 09:11:42,Hull Springs Farm,Dock,Pressure Transducer(corrected),46.16
2017-11-11 09:11:45,Hull Springs Farm,Dock,Pressure Transducer(corrected),45.51
2017-11-11 09:11:53,Hull Springs Farm,Dock,Pressure Transducer(corrected),44.94
2017-11-11 10:11:28,Hull Springs Farm,Dock,Pressure Transducer(corrected),43.19
2017-11-11 10:11:24,Hull Springs Farm,Dock,Pressure Transducer(corrected),42.75
2017-11-11 10:11:32,Hull Springs Farm,Dock,Pressure Transducer(corrected),42.22
2017-11-11 10:11:24,Hull Springs Farm,Dock,Pressure Transducer(corrected),41.24
2017-11-11 11:11:09,Hull Springs Farm,Dock,Pressure Transducer(corrected),39.94
2017-11-11 11:11:40,Hull Springs Farm,Dock,Pressure Transducer(corrected),38.89
2017-11-11 11:11:24,Hull Springs Farm,Dock,Pressure Transducer(corrected),37.29
2017-11-11 11:11:30,Hull Springs Farm,Dock,Pressure Transducer(corrected),36.88
2017-11-11 12:11:44,Hull Springs Farm,Dock,Pressure Transducer(corrected),36.25
2017-11-11 12:11:34,Hull Springs Farm,Dock,Pressure Transducer(corrected),35.72
2017-11-11 12:11:17,Hull Springs Farm,Dock,Pressure Transducer(corrected),35.37
2017-11-11 12:11:33,Hull Springs Farm,Dock,Pressure Transducer(corrected),34.75
2017-11-11 12:11:12,Hull Springs Farm,Dock,Pressure Transducer(corrected),34
2017-11-11 12:11:50,Hull Springs Farm,Dock,Pressure Transducer(corrected),33.78
2017-11-11 13:11:58,Hull Springs Farm,Dock,Pressure Transducer(corrected),33.59
2017-11-11 13:11:46,Hull Springs Farm,Dock,Pressure Transducer(corrected),32.57
2017-11-11 13:11:17,Hull Springs Farm,Dock,Pressure Transducer(corrected),32.44
2017-11-11 13:11:11,Hull Springs Farm,Dock,Pressure Transducer(corrected),32.11
2017-11-11 13:11:17,Hull Springs Farm,Dock,Pressure Transducer(corrected),32.15
2017-11-11 14:11:12,Hull Springs Farm,Dock,Pressure Transducer(corrected),32.09
2017-11-11 14:11:20,Hull Springs Farm,Dock,Pressure Transducer(corrected),31.76
2017-11-11 14:11:31,Hull Springs Farm,Dock,Pressure Transducer(corrected),31.82
2017-11-11 14:11:43,Hull Springs Farm,Dock,Pressure Transducer(corrected),31.98
2017-11-11 14:11:46,Hull Springs Farm,Dock,Pressure Transducer(corrected),32.1
2017-11-11 14:11:24,Hull Springs Farm,Dock,Pressure Transducer(corrected),32.41
2017-11-11 15:11:34,Hull Springs Farm,Dock,Pressure Transducer(corrected),32.56
2017-11-11 15:11:57,Hull Springs Farm,Dock,Pressure Transducer(corrected),32.75
2017-11-11 15:11:05,Hull Springs Farm,Dock,Pressure Transducer(corrected),33.35
2017-11-11 15:11:31,Hull Springs Farm,Dock,Pressure Transducer(corrected),33.91
2017-11-11 15:11:17,Hull Springs Farm,Dock,Pressure Transducer(corrected),34.28
2017-11-11 16:11:42,Hull Springs Farm,Dock,Pressure Transducer(corrected),35.01
2017-11-11 16:11:03,Hull Springs Farm,Dock,Pressure Transducer(corrected),35.63
2017-11-11 16:11:57,Hull Springs Farm,Dock,Pressure Transducer(corrected),37.26
2017-11-11 16:11:58,Hull Springs Farm,Dock,Pressure Transducer(corrected),37.96
2017-11-11 16:11:00,Hull Springs Farm,Dock,Pressure Transducer(corrected),38.5
2017-11-11 16:11:02,Hull Springs Farm,Dock,Pressure Transducer(corrected),39.49
2017-11-11 17:11:03,Hull Springs Farm,Dock,Pressure Transducer(corrected),40.36
2017-11-11 17:11:07,Hull Springs Farm,Dock,Pressure Transducer(corrected),40.97
2017-11-11 17:11:06,Hull Springs Farm,Dock,Pressure Transducer(corrected),41.77
2017-11-11 17:11:08,Hull Springs Farm,Dock,Pressure Transducer(corrected),42.65
2017-11-11 17:11:10,Hull Springs Farm,Dock,Pressure Transducer(corrected),43.39
2017-11-11 17:11:12,Hull Springs Farm,Dock,Pressure Transducer(corrected),44.03
2017-11-11 18:11:15,Hull Springs Farm,Dock,Pressure Transducer(corrected),45.48
2017-11-11 18:11:17,Hull Springs Farm,Dock,Pressure Transducer(corrected),46.18
2017-11-11 18:11:18,Hull Springs Farm,Dock,Pressure Transducer(corrected),47.06
2017-11-11 18:11:20,Hull Springs Farm,Dock,Pressure Transducer(corrected),47.48
2017-11-11 18:11:21,Hull Springs Farm,Dock,Pressure Transducer(corrected),47.94
2017-11-11 19:11:23,Hull Springs Farm,Dock,Pressure Transducer(corrected),48.7
2017-11-11 19:11:25,Hull Springs Farm,Dock,Pressure Transducer(corrected),49.21
2017-11-11 19:11:26,Hull Springs Farm,Dock,Pressure Transducer(corrected),49.41
2017-11-11 19:11:28,Hull Springs Farm,Dock,Pressure Transducer(corrected),49.95
2017-11-11 19:11:29,Hull Springs Farm,Dock,Pressure Transducer(corrected),50.47
2017-11-11 19:11:31,Hull Springs Farm,Dock,Pressure Transducer(corrected),50.74
2017-11-11 20:11:34,Hull Springs Farm,Dock,Pressure Transducer(corrected),51.06
2017-11-11 20:11:36,Hull Springs Farm,Dock,Pressure Transducer(corrected),51.3
2017-11-11 20:11:37,Hull Springs Farm,Dock,Pressure Transducer(corrected),51.81
2017-11-11 20:11:40,Hull Springs Farm,Dock,Pressure Transducer(corrected),51.45
2017-11-11 21:11:43,Hull Springs Farm,Dock,Pressure Transducer(corrected),51.35
2017-11-11 21:11:44,Hull Springs Farm,Dock,Pressure Transducer(corrected),51.11
2017-11-11 21:11:46,Hull Springs Farm,Dock,Pressure Transducer(corrected),51.08
2017-11-11 21:11:48,Hull Springs Farm,Dock,Pressure Transducer(corrected),50.75
2017-11-11 21:11:49,Hull Springs Farm,Dock,Pressure Transducer(corrected),50.09
2017-11-11 21:11:51,Hull Springs Farm,Dock,Pressure Transducer(corrected),49.84
2017-11-11 22:11:54,Hull Springs Farm,Dock,Pressure Transducer(corrected),48.96
2017-11-11 22:11:56,Hull Springs Farm,Dock,Pressure Transducer(corrected),48.07
2017-11-11 22:11:57,Hull Springs Farm,Dock,Pressure Transducer(corrected),47.62
2017-11-11 22:11:59,Hull Springs Farm,Dock,Pressure Transducer(corrected),46.94
2017-11-11 22:11:01,Hull Springs Farm,Dock,Pressure Transducer(corrected),46.34
2017-11-11 23:11:02,Hull Springs Farm,Dock,Pressure Transducer(corrected),45.8
2017-11-11 23:11:04,Hull Springs Farm,Dock,Pressure Transducer(corrected),44.95
2017-11-11 23:11:05,Hull Springs Farm,Dock,Pressure Transducer(corrected),44.41
2017-11-11 23:11:07,Hull Springs Farm,Dock,Pressure Transducer(corrected),43.77
2017-11-11 23:11:08,Hull Springs Farm,Dock,Pressure Transducer(corrected),42.88
2017-11-11 23:11:10,Hull Springs Farm,Dock,Pressure Transducer(corrected),42.27
2017-11-12 00:11:12,Hull Springs Farm,Dock,Pressure Transducer(corrected),41.64
2017-11-12 00:11:13,Hull Springs Farm,Dock,Pressure Transducer(corrected),40.63
2017-11-12 00:11:15,Hull Springs Farm,Dock,Pressure Transducer(corrected),39.99
2017-11-12 00:11:16,Hull Springs Farm,Dock,Pressure Transducer(corrected),39.49
2017-11-12 00:11:20,Hull Springs Farm,Dock,Pressure Transducer(corrected),38.61
2017-11-12 00:11:20,Hull Springs Farm,Dock,Pressure Transducer(corrected),38.12
2017-11-12 01:11:21,Hull Springs Farm,Dock,Pressure Transducer(corrected),37.6
2017-11-12 01:11:23,Hull Springs Farm,Dock,Pressure Transducer(corrected),37.02
2017-11-12 01:11:26,Hull Springs Farm,Dock,Pressure Transducer(corrected),35.95
2017-11-12 01:11:28,Hull Springs Farm,Dock,Pressure Transducer(corrected),35.58
2017-11-12 01:11:29,Hull Springs Farm,Dock,Pressure Transducer(corrected),35.13
2017-11-12 02:11:31,Hull Springs Farm,Dock,Pressure Transducer(corrected),34.7
2017-11-12 02:11:33,Hull Springs Farm,Dock,Pressure Transducer(corrected),34.18
2017-11-12 02:11:34,Hull Springs Farm,Dock,Pressure Transducer(corrected),34.04
2017-11-12 02:11:36,Hull Springs Farm,Dock,Pressure Transducer(corrected),33.94
2017-11-12 02:11:39,Hull Springs Farm,Dock,Pressure Transducer(corrected),33.43
2017-11-12 03:11:41,Hull Springs Farm,Dock,Pressure Transducer(corrected),33.31
2017-11-12 03:11:43,Hull Springs Farm,Dock,Pressure Transducer(corrected),33.47
2017-11-12 03:11:44,Hull Springs Farm,Dock,Pressure Transducer(corrected),33.53
2017-11-12 03:11:45,Hull Springs Farm,Dock,Pressure Transducer(corrected),33.54
2017-11-12 03:11:47,Hull Springs Farm,Dock,Pressure Transducer(corrected),33.87
2017-11-12 03:11:49,Hull Springs Farm,Dock,Pressure Transducer(corrected),34.29
2017-11-12 04:11:50,Hull Springs Farm,Dock,Pressure Transducer(corrected),34.69
2017-11-12 04:11:53,Hull Springs Farm,Dock,Pressure Transducer(corrected),35.45
2017-11-12 04:11:55,Hull Springs Farm,Dock,Pressure Transducer(corrected),36.46
2017-11-12 04:11:57,Hull Springs Farm,Dock,Pressure Transducer(corrected),37.09
2017-11-12 04:11:59,Hull Springs Farm,Dock,Pressure Transducer(corrected),37.46
2017-11-12 05:11:02,Hull Springs Farm,Dock,Pressure Transducer(corrected),38.95
2017-11-12 05:11:03,Hull Springs Farm,Dock,Pressure Transducer(corrected),39.62
2017-11-12 05:11:05,Hull Springs Farm,Dock,Pressure Transducer(corrected),40.8
2017-11-12 05:11:07,Hull Springs Farm,Dock,Pressure Transducer(corrected),41.18
2017-11-12 05:11:09,Hull Springs Farm,Dock,Pressure Transducer(corrected),41.73
2017-11-12 06:11:10,Hull Springs Farm,Dock,Pressure Transducer(corrected),42.91
2017-11-12 06:11:12,Hull Springs Farm,Dock,Pressure Transducer(corrected),43.6
2017-11-12 06:11:13,Hull Springs Farm,Dock,Pressure Transducer(corrected),44.16
2017-11-12 06:11:15,Hull Springs Farm,Dock,Pressure Transducer(corrected),44.91
2017-11-12 06:11:16,Hull Springs Farm,Dock,Pressure Transducer(corrected),45.6
2017-11-12 06:11:18,Hull Springs Farm,Dock,Pressure Transducer(corrected),46.32
2017-11-12 07:11:20,Hull Springs Farm,Dock,Pressure Transducer(corrected),47.11
2017-11-12 07:11:23,Hull Springs Farm,Dock,Pressure Transducer(corrected),48.25
2017-11-12 07:11:25,Hull Springs Farm,Dock,Pressure Transducer(corrected),48.55
2017-11-12 07:11:26,Hull Springs Farm,Dock,Pressure Transducer(corrected),49.29
2017-11-12 07:11:28,Hull Springs Farm,Dock,Pressure Transducer(corrected),49.99
2017-11-12 08:11:31,Hull Springs Farm,Dock,Pressure Transducer(corrected),50.44
2017-11-12 08:11:35,Hull Springs Farm,Dock,Pressure Transducer(corrected),50.98
2017-11-12 08:11:36,Hull Springs Farm,Dock,Pressure Transducer(corrected),51.57
2017-11-12 08:11:37,Hull Springs Farm,Dock,Pressure Transducer(corrected),51.46
2017-11-12 09:11:41,Hull Springs Farm,Dock,Pressure Transducer(corrected),51.95
